"filename", "language", "Rust", "C", "comment", "blank", "total"
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/app.rs", "Rust", 286, 0, 0, 13, 299
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/bin/cef-c-bridge-helper.rs", "Rust", 215, 0, 0, 23, 238
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/bin/cef-custom-helper.rs", "Rust", 8, 0, 0, 0, 8
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/cef/c_bridge.rs", "Rust", 152, 0, 0, 21, 173
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/cef/c_standalone_helper_main.c", "C", 0, 685, 1, 57, 743
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/cef/capi_probe.c", "C", 0, 21, 0, 0, 21
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/cef/mod.rs", "Rust", 3, 0, 0, 0, 3
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/config.rs", "Rust", 4, 0, 0, 0, 4
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/frame_bridge.rs", "Rust", 40, 0, 0, 8, 48
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/lib.rs", "Rust", 2, 0, 0, 0, 2
"/mnt/k_disk/programe/N.E.K.O.-PC-wayland/src/standalone_helper.rs", "Rust", 551, 0, 0, 43, 594
"Total", "-", 1261, 706, 1, 165, 2133
